Tipo Titulo;Vencimento do Titulo;Mes Estoque;PU;Quantidade;Valor Estoque
Tesouro IPCA+ com Juros Semestrais;15/05/2045;12/2006;1177,096763;11680,80;13749431,86
Tesouro IGPM+ com Juros Semestrais;01/07/2017;12/2006;1631,064966;11019,60;17973683,50
Tesouro IPCA+ com Juros Semestrais;15/05/2015;12/2006;1364,426939;10408,60;14201774,24
Tesouro IGPM+ com Juros Semestrais;01/01/2031;12/2006;2565,474340;15951,20;40922394,29
Tesouro IGPM+ com Juros Semestrais;01/04/2021;12/2006;1532,573046;11017,00;16884357,24
Tesouro IPCA+ com Juros Semestrais;15/08/2024;12/2006;1262,761762;8685,60;10967843,55
Tesouro IPCA+;15/05/2015;12/2006;787,117534;46287,00;36433309,28
Tesouro IPCA+;15/08/2024;12/2006;395,196198;68711,80;27154642,09
Tesouro IPCA+ com Juros Semestrais;15/05/2009;01/2007;1521,803023;25731,40;39158122,30
Tesouro IPCA+ com Juros Semestrais;15/05/2011;01/2007;1467,786613;13368,20;19621664,99
Tesouro IPCA+ com Juros Semestrais;15/05/2007;01/2007;1620,956863;13948,60;22610078,89
Tesouro IPCA+ com Juros Semestrais;15/08/2008;01/2007;1581,846930;22662,40;35848447,86
Tesouro IPCA+ com Juros Semestrais;15/08/2010;01/2007;1502,665044;16396,60;24638597,65
Tesouro Prefixado com Juros Semestrais;01/01/2008;01/2007;954,569364;36150,20;34507873,43
Tesouro Prefixado com Juros Semestrais;01/01/2010;01/2007;911,329827;23072,20;21026384,04
Tesouro Prefixado com Juros Semestrais;01/01/2012;01/2007;859,248849;28067,60;24117052,99
Tesouro IGPM+ com Juros Semestrais;01/04/2008;01/2007;1883,623746;8909,20;16781580,67
Tesouro IGPM+ com Juros Semestrais;01/03/2011;01/2007;1790,419550;16611,00;29740659,15
Tesouro Selic;17/03/2010;01/2007;2984,724451;22143,60;66092544,34
Tesouro Selic;18/06/2008;01/2007;2982,852932;15846,20;47266884,12
Tesouro Selic;18/03/2009;01/2007;2983,692051;40299,60;120241596,19
Tesouro Selic;16/03/2011;01/2007;2993,582822;4175,00;12498208,28
Tesouro IPCA+ com Juros Semestrais;15/05/2045;12/2013;2292,555240;69845,65;160125010,89
Tesouro IGPM+ com Juros Semestrais;01/07/2017;12/2013;2802,810720;7162,48;20075075,72
Tesouro IPCA+ com Juros Semestrais;15/05/2015;12/2013;2361,139971;290250,99;685323213,97
Tesouro IPCA+ com Juros Semestrais;15/05/2017;12/2013;2383,425888;78054,46;186037020,66
Tesouro IGPM+ com Juros Semestrais;01/01/2031;12/2013;3861,566208;10806,20;41728856,75
